@relation KNN_Emotion_train

@attribute class {bot,human}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric

@data
bot,0.703584,0.128419,0.113918,0.045911,0.008168
bot,0.544435,0.190533,0.145717,0.112559,0.006755
bot,0.328578,0.180779,0.174079,0.161135,0.155429
bot,0.438305,0.250956,0.147975,0.137544,0.02522
bot,0.441898,0.366193,0.068614,0.064704,0.058591
bot,0.403741,0.305842,0.222066,0.061089,0.007262
bot,0.404688,0.333978,0.164106,0.053085,0.044143
bot,0.466511,0.235255,0.17331,0.08963,0.035293
bot,0.294009,0.267413,0.180396,0.163229,0.094952
bot,0.43063,0.327299,0.12487,0.104613,0.012587
bot,0.370571,0.302421,0.197782,0.094964,0.034261
bot,0.67785,0.225673,0.057529,0.022816,0.016132
bot,0.336531,0.234109,0.213767,0.150349,0.065245
bot,0.323389,0.267864,0.229213,0.172959,0.006576
bot,0.433747,0.169558,0.167545,0.160359,0.068791
bot,0.405069,0.199086,0.194644,0.105402,0.0958
bot,0.52819,0.239825,0.112635,0.081749,0.037602
bot,0.56117,0.275818,0.102952,0.049807,0.010254
bot,0.380073,0.303893,0.182119,0.124745,0.009169
bot,0.240911,0.231603,0.187604,0.182498,0.157383
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.332317,0.214697,0.186146,0.141542,0.125297
bot,0.325548,0.30225,0.167759,0.125227,0.079217
bot,0.564809,0.230556,0.145272,0.035986,0.023377
bot,0.462226,0.238737,0.237317,0.043138,0.018583
bot,0.461925,0.203533,0.142781,0.111852,0.079909
bot,0.362454,0.188211,0.177267,0.155995,0.116073
bot,0.491792,0.354044,0.067685,0.04776,0.038719
bot,0.233145,0.212322,0.201974,0.186235,0.166323
bot,0.286734,0.258024,0.184934,0.141218,0.129091
bot,0.43342,0.372016,0.116185,0.050553,0.027826
bot,0.382773,0.274775,0.195867,0.108629,0.037956
bot,0.501457,0.337542,0.079455,0.054402,0.027145
bot,0.33198,0.238577,0.180591,0.162731,0.086122
bot,0.308464,0.234129,0.213638,0.171356,0.072414
bot,0.397452,0.197181,0.168555,0.128306,0.108506
bot,0.51803,0.276014,0.151654,0.036998,0.017303
bot,0.348747,0.249234,0.236766,0.096731,0.068523
bot,0.464142,0.19966,0.187965,0.098108,0.050125
