=== Run information ===

Scheme:       weka.classifiers.meta.Bagging -P 100 -S 101 -num-slots 8 -I 50 -W weka.classifiers.trees.REPTree -num-decimal-places 8 -- -M 2 -V 0.001 -N 3 -S 97 -L -1 -I 0.0 -num-decimal-places 8
Relation:     HW6_BaggingAndBoosting_SentimentAnalysis_Emotion_URLsCount_MentionsCount_train
Instances:    3000
Attributes:   13
              class
              score_tag
              agreement
              subjectivity
              confidence
              irony
              joy
              surprise
              fear
              sadness
              anger
              urlsCount
              mentionsCount
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

Bagging with 50 iterations and base learner

weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 97 -L -1 -I 0.0 -num-decimal-places 8

Time taken to build model: 0.18 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.877
2,1:?,1:bot,,0.543
3,1:?,1:bot,,0.75
4,1:?,1:bot,,0.643
5,1:?,1:bot,,0.752
6,1:?,1:bot,,0.86
7,1:?,2:human,,0.676
8,1:?,1:bot,,0.901
9,1:?,1:bot,,0.864
10,1:?,1:bot,,0.51
11,1:?,1:bot,,0.835
12,1:?,2:human,,0.647
13,1:?,1:bot,,0.897
14,1:?,1:bot,,0.687
15,1:?,2:human,,0.742
16,1:?,2:human,,0.709
17,1:?,1:bot,,0.673
18,1:?,1:bot,,0.876
19,1:?,2:human,,0.51
20,1:?,1:bot,,0.686
21,1:?,1:bot,,0.934
22,1:?,2:human,,0.674
23,1:?,1:bot,,0.504
24,1:?,1:bot,,0.677
25,1:?,1:bot,,0.525
26,1:?,1:bot,,0.513
27,1:?,2:human,,0.629
28,1:?,1:bot,,0.723
29,1:?,1:bot,,0.643
30,1:?,1:bot,,0.885
31,1:?,2:human,,0.611
32,1:?,2:human,,0.767
33,1:?,2:human,,0.52
34,1:?,1:bot,,0.785
35,1:?,1:bot,,0.842
36,1:?,2:human,,0.869
37,1:?,1:bot,,0.637
38,1:?,1:bot,,0.772
39,1:?,1:bot,,0.711
40,1:?,2:human,,0.711
41,1:?,1:bot,,0.876
42,1:?,1:bot,,0.856
43,1:?,1:bot,,0.788
44,1:?,1:bot,,0.704
45,1:?,1:bot,,0.643
46,1:?,1:bot,,0.828
47,1:?,1:bot,,0.808
48,1:?,2:human,,0.514
49,1:?,1:bot,,0.558
50,1:?,2:human,,0.739
51,1:?,1:bot,,0.504
52,1:?,2:human,,0.807
53,1:?,1:bot,,0.735
54,1:?,2:human,,0.587
55,1:?,1:bot,,0.827
56,1:?,1:bot,,0.63
57,1:?,1:bot,,0.876
58,1:?,2:human,,0.8
59,1:?,1:bot,,0.748
60,1:?,1:bot,,0.784
61,1:?,1:bot,,0.824
62,1:?,1:bot,,0.762
63,1:?,1:bot,,0.723
