=== Run information ===

Scheme:       weka.classifiers.bayes.BayesNet -num-decimal-places 8 -D -Q weka.classifiers.bayes.net.search.local.HillClimber -- -P 1 -mbc -S BAYES -E weka.classifiers.bayes.net.estimate.SimpleEstimator -- -A 0.5
Relation:     HW7_BayesNetwork_train
Instances:    3000
Attributes:   14
              class
              score_tag
              agreement
              subjectivity
              confidence
              irony
              joy
              surprise
              fear
              sadness
              anger
              urlsCount
              mentionsCount
              isRetweet
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

Bayes Network Classifier
not using ADTree
#attributes=14 #classindex=0
Network structure (nodes followed by parents)
class(2): 
score_tag(6): subjectivity class 
agreement(2): score_tag class 
subjectivity(2): class 
confidence(1): class 
irony(2): agreement class 
joy(2): class 
surprise(1): class 
fear(1): class 
sadness(2): class 
anger(2): class 
urlsCount(2): class 
mentionsCount(3): class 
isRetweet(2): class 
LogScore Bayes: -18061.50091080214
LogScore BDeu: -18176.011319002802
LogScore MDL: -18183.76673962285
LogScore ENTROPY: -17971.59799908012
LogScore AIC: -18024.59799908012


Time taken to build model: 0.04 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.881
2,1:?,1:bot,,0.665
3,1:?,1:bot,,0.896
4,1:?,1:bot,,0.791
5,1:?,1:bot,,0.881
6,1:?,1:bot,,0.795
7,1:?,2:human,,0.988
8,1:?,1:bot,,0.795
9,1:?,1:bot,,0.931
10,1:?,1:bot,,0.791
11,1:?,1:bot,,0.896
12,1:?,2:human,,0.767
13,1:?,1:bot,,0.888
14,1:?,2:human,,0.712
15,1:?,1:bot,,0.802
16,1:?,2:human,,0.924
17,1:?,1:bot,,0.791
18,1:?,1:bot,,0.874
19,1:?,1:bot,,0.643
20,1:?,1:bot,,0.791
21,1:?,2:human,,0.792
22,1:?,2:human,,0.821
23,1:?,1:bot,,0.606
24,1:?,2:human,,0.791
25,1:?,2:human,,0.651
26,1:?,1:bot,,0.739
27,1:?,2:human,,0.993
28,1:?,1:bot,,0.75
29,1:?,1:bot,,0.791
30,1:?,1:bot,,0.864
31,1:?,1:bot,,0.654
32,1:?,2:human,,0.988
33,1:?,1:bot,,0.714
34,1:?,1:bot,,0.6
35,1:?,1:bot,,0.858
36,1:?,2:human,,0.82
37,1:?,1:bot,,0.834
38,1:?,1:bot,,0.881
39,1:?,1:bot,,0.827
40,1:?,2:human,,0.996
41,1:?,1:bot,,0.874
42,1:?,1:bot,,0.799
43,1:?,1:bot,,0.881
44,1:?,2:human,,0.791
45,1:?,1:bot,,0.791
46,1:?,1:bot,,0.827
47,1:?,1:bot,,0.595
48,1:?,1:bot,,0.606
49,1:?,2:human,,0.821
50,1:?,1:bot,,0.559
51,1:?,1:bot,,0.739
