=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.meta.Bagging -- -P 100 -S 1 -num-slots 1 -I 10 -W weka.classifiers.trees.REPTree -- -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0
Relation:     HW8_TestingFeatureSelectionMethods_train-weka.filters.unsupervised.attribute.Remove-R2-11,13
Instances:    3000
Attributes:   4
              class
              urlsCount
              isRetweet
              wordsCount
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Bagging with 10 iterations and base learner

weka.classifiers.trees.REPTree -M 2 -V 0.001 -N 3 -S 1 -L -1 -I 0.0
Attribute mappings:

Model attributes      	    Incoming attributes
----------------------	    ----------------
(nominal) class       	--> 1 (nominal) class
(numeric) urlsCount   	--> 12 (numeric) urlsCount
(numeric) isRetweet   	--> 14 (numeric) isRetweet
(numeric) wordsCount  	--> 15 (numeric) wordsCount


Time taken to build model: 0.15 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.658
2,1:?,1:bot,,0.791
3,1:?,1:bot,,0.76
4,1:?,1:bot,,0.76
5,1:?,1:bot,,0.658
6,1:?,1:bot,,0.767
7,1:?,2:human,,0.773
8,1:?,1:bot,,0.791
9,1:?,1:bot,,0.791
10,1:?,1:bot,,0.791
11,1:?,1:bot,,0.577
12,1:?,2:human,,0.789
13,1:?,1:bot,,0.577
14,1:?,2:human,,0.798
15,1:?,1:bot,,0.782
16,1:?,2:human,,0.723
17,1:?,1:bot,,0.76
18,1:?,1:bot,,0.76
19,1:?,1:bot,,0.76
20,1:?,1:bot,,0.791
21,1:?,2:human,,0.82
22,1:?,2:human,,0.819
23,1:?,1:bot,,0.594
24,1:?,2:human,,0.648
25,1:?,2:human,,0.723
26,1:?,1:bot,,0.76
27,1:?,2:human,,0.793
28,1:?,1:bot,,0.658
29,1:?,1:bot,,0.76
30,1:?,1:bot,,0.791
31,1:?,1:bot,,0.791
32,1:?,2:human,,0.773
33,1:?,1:bot,,0.782
34,1:?,1:bot,,0.791
35,1:?,1:bot,,0.791
36,1:?,2:human,,0.644
37,1:?,1:bot,,0.791
38,1:?,1:bot,,0.71
39,1:?,1:bot,,0.791
40,1:?,2:human,,0.754
41,1:?,1:bot,,0.76
42,1:?,1:bot,,0.791
43,1:?,1:bot,,0.71
44,1:?,2:human,,0.723
45,1:?,1:bot,,0.76
46,1:?,1:bot,,0.717
47,1:?,1:bot,,0.791
48,1:?,1:bot,,0.791
49,1:?,2:human,,0.756
50,1:?,2:human,,0.648
51,1:?,1:bot,,0.76
52,1:?,2:human,,0.644
53,1:?,1:bot,,0.791
54,1:?,1:bot,,0.76
55,1:?,1:bot,,0.791
56,1:?,1:bot,,0.577
57,1:?,1:bot,,0.791
58,1:?,2:human,,0.801
59,1:?,1:bot,,0.76
60,1:?,1:bot,,0.71
61,1:?,1:bot,,0.791
62,1:?,1:bot,,0.594
63,1:?,1:bot,,0.767
64,1:?,1:bot,,0.76
65,1:?,1:bot,,0.594
66,1:?,1:bot,,0.577
67,1:?,1:bot,,0.717
68,1:?,1:bot,,0.76
69,1:?,1:bot,,0.767
70,1:?,1:bot,,0.76
71,1:?,1:bot,,0.791
72,1:?,1:bot,,0.791
73,1:?,1:bot,,0.791
74,1:?,1:bot,,0.791
75,1:?,1:bot,,0.63
76,1:?,1:bot,,0.594
77,1:?,1:bot,,0.717
78,1:?,1:bot,,0.658
79,1:?,1:bot,,0.717
80,1:?,1:bot,,0.577
81,1:?,1:bot,,0.791
82,1:?,1:bot,,0.594
83,1:?,2:human,,0.773
84,1:?,1:bot,,0.791
85,1:?,1:bot,,0.717
86,1:?,1:bot,,0.791
87,1:?,1:bot,,0.71
88,1:?,1:bot,,0.791
89,1:?,1:bot,,0.577
90,1:?,1:bot,,0.717
91,1:?,1:bot,,0.76
92,1:?,1:bot,,0.791
93,1:?,1:bot,,0.726
94,1:?,2:human,,0.819
95,1:?,1:bot,,0.791
96,1:?,1:bot,,0.76
97,1:?,1:bot,,0.577
98,1:?,1:bot,,0.594
99,1:?,1:bot,,0.791
100,1:?,1:bot,,0.71
101,1:?,1:bot,,0.791
102,1:?,1:bot,,0.767
103,1:?,1:bot,,0.577
104,1:?,1:bot,,0.71
105,1:?,1:bot,,0.791
106,1:?,1:bot,,0.726
107,1:?,1:bot,,0.791
108,1:?,2:human,,0.772
109,1:?,1:bot,,0.76
110,1:?,1:bot,,0.717
111,1:?,2:human,,0.795
112,1:?,1:bot,,0.71
113,1:?,1:bot,,0.791
114,1:?,1:bot,,0.76
115,1:?,1:bot,,0.76
116,1:?,1:bot,,0.767
117,1:?,2:human,,0.756
118,1:?,1:bot,,0.717
119,1:?,1:bot,,0.76
120,1:?,2:human,,0.798
121,1:?,1:bot,,0.791
122,1:?,1:bot,,0.71
123,1:?,1:bot,,0.791
124,1:?,1:bot,,0.791
125,1:?,1:bot,,0.577
126,1:?,1:bot,,0.791
127,1:?,1:bot,,0.782
128,1:?,1:bot,,0.791
129,1:?,1:bot,,0.717
130,1:?,1:bot,,0.791
131,1:?,2:human,,0.795
132,1:?,1:bot,,0.783
133,1:?,1:bot,,0.76
134,1:?,1:bot,,0.791
135,1:?,1:bot,,0.717
136,1:?,2:human,,0.793
137,1:?,1:bot,,0.76
138,1:?,1:bot,,0.717
139,1:?,2:human,,0.795
140,1:?,1:bot,,0.76
141,1:?,1:bot,,0.76
142,1:?,1:bot,,0.76
143,1:?,1:bot,,0.76
144,1:?,2:human,,0.795
145,1:?,1:bot,,0.76
146,1:?,1:bot,,0.577
147,1:?,2:human,,0.768
148,1:?,1:bot,,0.577
149,1:?,1:bot,,0.717
150,1:?,1:bot,,0.791
151,1:?,1:bot,,0.76
152,1:?,1:bot,,0.76
153,1:?,1:bot,,0.717
154,1:?,1:bot,,0.791
155,1:?,1:bot,,0.717
156,1:?,1:bot,,0.76
157,1:?,2:human,,0.814
158,1:?,1:bot,,0.791
159,1:?,1:bot,,0.717
160,1:?,1:bot,,0.763
161,1:?,1:bot,,0.791
162,1:?,1:bot,,0.791
163,1:?,1:bot,,0.717
164,1:?,1:bot,,0.791
165,1:?,1:bot,,0.76
166,1:?,1:bot,,0.791
167,1:?,1:bot,,0.717
168,1:?,1:bot,,0.791
169,1:?,2:human,,0.819
170,1:?,2:human,,0.772
171,1:?,2:human,,0.698
172,1:?,1:bot,,0.717
173,1:?,1:bot,,0.791
174,1:?,1:bot,,0.791
175,1:?,1:bot,,0.76
176,1:?,1:bot,,0.791
177,1:?,1:bot,,0.658
178,1:?,1:bot,,0.791
179,1:?,1:bot,,0.791
180,1:?,1:bot,,0.782
181,1:?,1:bot,,0.791
182,1:?,1:bot,,0.76
183,1:?,1:bot,,0.791
184,1:?,1:bot,,0.783
185,1:?,1:bot,,0.767
186,1:?,1:bot,,0.76
187,1:?,1:bot,,0.76
188,1:?,1:bot,,0.63
189,1:?,1:bot,,0.576
190,1:?,1:bot,,0.658
191,1:?,2:human,,0.772
192,1:?,1:bot,,0.76
193,1:?,1:bot,,0.717
194,1:?,1:bot,,0.791
195,1:?,1:bot,,0.791
196,1:?,1:bot,,0.577
197,1:?,1:bot,,0.791
198,1:?,2:human,,0.581
199,1:?,1:bot,,0.791
200,1:?,1:bot,,0.717
201,1:?,1:bot,,0.767
202,1:?,1:bot,,0.76
203,1:?,1:bot,,0.791
204,1:?,1:bot,,0.791
205,1:?,1:bot,,0.791
206,1:?,2:human,,0.756
207,1:?,1:bot,,0.782
208,1:?,1:bot,,0.577
209,1:?,1:bot,,0.71
210,1:?,1:bot,,0.71
211,1:?,2:human,,0.714
212,1:?,1:bot,,0.791
213,1:?,1:bot,,0.791
214,1:?,2:human,,0.819
215,1:?,1:bot,,0.71
216,1:?,1:bot,,0.76
217,1:?,1:bot,,0.791
218,1:?,2:human,,0.819
219,1:?,2:human,,0.648
220,1:?,1:bot,,0.594
221,1:?,2:human,,0.805
222,1:?,1:bot,,0.717
223,1:?,2:human,,0.698
224,1:?,1:bot,,0.791
225,1:?,1:bot,,0.717
226,1:?,1:bot,,0.717
227,1:?,2:human,,0.815
228,1:?,1:bot,,0.63
229,1:?,1:bot,,0.791
230,1:?,1:bot,,0.791
231,1:?,1:bot,,0.71
232,1:?,1:bot,,0.782
233,1:?,1:bot,,0.76
234,1:?,1:bot,,0.791
235,1:?,1:bot,,0.791
236,1:?,1:bot,,0.791
237,1:?,2:human,,0.82
238,1:?,1:bot,,0.791
239,1:?,1:bot,,0.791
240,1:?,1:bot,,0.791
241,1:?,1:bot,,0.791
242,1:?,1:bot,,0.658
243,1:?,1:bot,,0.577
244,1:?,1:bot,,0.76
245,1:?,1:bot,,0.76
246,1:?,1:bot,,0.717
247,1:?,1:bot,,0.791
248,1:?,1:bot,,0.76
249,1:?,1:bot,,0.791
250,1:?,1:bot,,0.791
251,1:?,1:bot,,0.76
252,1:?,1:bot,,0.791
253,1:?,1:bot,,0.791
254,1:?,2:human,,0.698
255,1:?,1:bot,,0.767
256,1:?,1:bot,,0.767
257,1:?,1:bot,,0.71
258,1:?,1:bot,,0.782
259,1:?,1:bot,,0.791
260,1:?,1:bot,,0.76
261,1:?,1:bot,,0.791
262,1:?,1:bot,,0.791
263,1:?,1:bot,,0.791
264,1:?,1:bot,,0.63
265,1:?,1:bot,,0.63
266,1:?,1:bot,,0.594
267,1:?,1:bot,,0.71
268,1:?,1:bot,,0.763
269,1:?,1:bot,,0.791
270,1:?,1:bot,,0.791
271,1:?,1:bot,,0.71
272,1:?,1:bot,,0.791
273,1:?,1:bot,,0.717
274,1:?,1:bot,,0.791
275,1:?,1:bot,,0.782
276,1:?,1:bot,,0.76
277,1:?,1:bot,,0.76
278,1:?,1:bot,,0.783
279,1:?,2:human,,0.82
280,1:?,1:bot,,0.717
281,1:?,1:bot,,0.76
282,1:?,1:bot,,0.76
283,1:?,1:bot,,0.717
284,1:?,1:bot,,0.594
285,1:?,1:bot,,0.791
286,1:?,1:bot,,0.658
287,1:?,1:bot,,0.76
288,1:?,1:bot,,0.791
289,1:?,1:bot,,0.76
290,1:?,2:human,,0.653
291,1:?,1:bot,,0.658
292,1:?,1:bot,,0.791
293,1:?,1:bot,,0.791
294,1:?,1:bot,,0.76
295,1:?,1:bot,,0.717
296,1:?,1:bot,,0.76
297,1:?,1:bot,,0.717
298,1:?,2:human,,0.732
299,1:?,1:bot,,0.76
300,1:?,2:human,,0.817
301,1:?,1:bot,,0.71
302,1:?,2:human,,0.698
303,1:?,1:bot,,0.791
304,1:?,1:bot,,0.717
305,1:?,2:human,,0.535
306,1:?,1:bot,,0.782
307,1:?,1:bot,,0.76
308,1:?,1:bot,,0.717
309,1:?,1:bot,,0.791
310,1:?,1:bot,,0.76
311,1:?,1:bot,,0.717
312,1:?,1:bot,,0.76
313,1:?,1:bot,,0.76
314,1:?,1:bot,,0.717
315,1:?,1:bot,,0.791
316,1:?,1:bot,,0.791
317,1:?,1:bot,,0.791
318,1:?,1:bot,,0.594
319,1:?,1:bot,,0.791
320,1:?,1:bot,,0.791
321,1:?,1:bot,,0.791
322,1:?,1:bot,,0.791
323,1:?,1:bot,,0.767
