=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.meta.Bagging -- -P 100 -S 101 -num-slots 8 -I 12 -W weka.classifiers.lazy.IBk -num-decimal-places 8 -- -K 5 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\"" -num-decimal-places 8
Relation:     HW8_TestingFeatureSelectionMethods_train-weka.filters.unsupervised.attribute.Remove-R2-3,5-6,8-9,15
Instances:    3000
Attributes:   8
              class
              subjectivity
              joy
              sadness
              anger
              urlsCount
              mentionsCount
              isRetweet
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

Bagging with 12 iterations and base learner

weka.classifiers.lazy.IBk -K 5 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\"" -num-decimal-places 8
Attribute mappings:

Model attributes         	    Incoming attributes
-------------------------	    ----------------
(nominal) class          	--> 1 (nominal) class
(nominal) subjectivity   	--> 4 (nominal) subjectivity
(numeric) joy            	--> 7 (numeric) joy
(numeric) sadness        	--> 10 (numeric) sadness
(numeric) anger          	--> 11 (numeric) anger
(numeric) urlsCount      	--> 12 (numeric) urlsCount
(numeric) mentionsCount  	--> 13 (numeric) mentionsCount
(numeric) isRetweet      	--> 14 (numeric) isRetweet


Time taken to build model: 0.01 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,1
2,1:?,2:human,,0.561
3,1:?,1:bot,,0.566
4,1:?,1:bot,,0.724
5,1:?,1:bot,,0.911
6,1:?,1:bot,,0.983
7,1:?,2:human,,0.751
8,1:?,1:bot,,0.972
9,1:?,1:bot,,0.621
10,1:?,2:human,,0.567
11,1:?,1:bot,,1
12,1:?,2:human,,1
13,1:?,1:bot,,1
14,1:?,2:human,,0.587
15,1:?,1:bot,,0.724
16,1:?,2:human,,1
17,1:?,1:bot,,0.589
18,1:?,1:bot,,0.793
19,1:?,1:bot,,0.64
20,1:?,1:bot,,0.889
21,1:?,2:human,,0.967
22,1:?,2:human,,0.753
23,1:?,1:bot,,0.517
24,1:?,2:human,,0.552
25,1:?,2:human,,0.783
26,1:?,1:bot,,0.564
27,1:?,2:human,,0.772
28,1:?,1:bot,,0.592
29,1:?,1:bot,,0.724
30,1:?,1:bot,,0.649
31,1:?,1:bot,,0.637
32,1:?,2:human,,0.624
33,1:?,1:bot,,0.801
34,1:?,1:bot,,0.792
35,1:?,1:bot,,0.685
36,1:?,2:human,,0.964
37,1:?,1:bot,,0.813
38,1:?,1:bot,,0.741
39,1:?,1:bot,,0.983
40,1:?,2:human,,0.682
41,1:?,1:bot,,0.793
42,1:?,1:bot,,0.558
43,1:?,1:bot,,0.589
44,1:?,1:bot,,0.955
45,1:?,1:bot,,0.724
46,1:?,1:bot,,0.742
47,1:?,1:bot,,0.983
48,1:?,1:bot,,0.889
49,1:?,2:human,,0.603
50,1:?,2:human,,0.562
51,1:?,1:bot,,0.946
52,1:?,2:human,,0.679
53,1:?,1:bot,,0.742
54,1:?,1:bot,,0.633
55,1:?,1:bot,,0.972
56,1:?,1:bot,,0.606
57,1:?,1:bot,,1
58,1:?,2:human,,0.872
59,1:?,1:bot,,0.833
60,1:?,1:bot,,0.936
61,1:?,1:bot,,0.869
62,1:?,1:bot,,0.796
63,1:?,1:bot,,0.806
64,1:?,1:bot,,0.983
65,1:?,1:bot,,0.749
66,1:?,1:bot,,1
67,1:?,1:bot,,1
68,1:?,1:bot,,0.72
69,1:?,1:bot,,0.967
70,1:?,1:bot,,0.85
71,1:?,1:bot,,1
72,1:?,1:bot,,0.566
73,1:?,2:human,,0.553
74,1:?,1:bot,,0.764
75,1:?,1:bot,,0.771
76,1:?,1:bot,,0.807
77,1:?,2:human,,1
78,1:?,1:bot,,0.802
79,1:?,1:bot,,1
80,1:?,1:bot,,0.669
81,1:?,1:bot,,1
82,1:?,1:bot,,0.611
83,1:?,2:human,,0.751
84,1:?,1:bot,,0.87
85,1:?,1:bot,,0.692
86,1:?,1:bot,,0.983
87,1:?,1:bot,,1
88,1:?,1:bot,,1
89,1:?,1:bot,,0.9
90,1:?,1:bot,,0.96
91,1:?,1:bot,,0.85
92,1:?,1:bot,,0.822
93,1:?,1:bot,,0.9
94,1:?,2:human,,0.8
95,1:?,1:bot,,0.631
96,1:?,1:bot,,0.808
97,1:?,1:bot,,0.808
98,1:?,2:human,,0.736
99,1:?,1:bot,,0.626
100,1:?,1:bot,,0.906
101,1:?,1:bot,,0.983
102,1:?,2:human,,0.506
103,1:?,1:bot,,0.597
104,1:?,2:human,,0.529
105,1:?,1:bot,,0.842
106,1:?,2:human,,0.85
107,1:?,1:bot,,0.964
108,1:?,2:human,,0.711
109,1:?,1:bot,,0.85
110,1:?,1:bot,,0.875
111,1:?,2:human,,0.635
112,1:?,1:bot,,1
113,1:?,1:bot,,0.556
114,1:?,1:bot,,0.793
115,1:?,2:human,,0.595
116,1:?,1:bot,,0.801
117,1:?,2:human,,0.759
118,1:?,2:human,,0.603
119,1:?,1:bot,,0.619
120,1:?,2:human,,0.64
121,1:?,1:bot,,0.807
122,1:?,1:bot,,0.729
123,1:?,1:bot,,0.665
124,1:?,1:bot,,0.728
125,1:?,1:bot,,0.76
126,1:?,1:bot,,0.607
127,1:?,2:human,,0.769
128,1:?,2:human,,0.639
129,1:?,1:bot,,0.764
130,1:?,1:bot,,0.564
131,1:?,1:bot,,0.528
132,1:?,1:bot,,0.867
133,1:?,1:bot,,0.793
134,1:?,2:human,,0.719
135,1:?,1:bot,,0.762
136,1:?,2:human,,0.69
137,1:?,1:bot,,0.793
138,1:?,1:bot,,0.908
139,1:?,1:bot,,0.542
140,1:?,1:bot,,0.81
141,1:?,1:bot,,0.724
142,1:?,1:bot,,0.793
143,1:?,1:bot,,0.7
144,1:?,2:human,,0.761
145,1:?,1:bot,,0.693
146,1:?,1:bot,,0.647
147,1:?,2:human,,0.508
148,1:?,1:bot,,0.817
149,1:?,1:bot,,0.882
150,1:?,1:bot,,1
151,1:?,1:bot,,0.589
152,1:?,1:bot,,0.864
153,1:?,1:bot,,0.928
154,1:?,1:bot,,0.547
155,1:?,1:bot,,0.952
156,1:?,1:bot,,0.849
157,1:?,2:human,,1
158,1:?,1:bot,,0.519
159,1:?,2:human,,0.867
160,1:?,1:bot,,0.79
161,1:?,1:bot,,0.939
162,1:?,2:human,,0.57
163,1:?,1:bot,,0.934
164,1:?,2:human,,1
165,1:?,1:bot,,0.724
166,1:?,1:bot,,0.744
167,1:?,1:bot,,0.853
168,1:?,1:bot,,1
169,1:?,2:human,,0.892
170,1:?,2:human,,0.983
171,1:?,2:human,,0.583
172,1:?,2:human,,0.719
173,1:?,1:bot,,0.725
174,1:?,2:human,,0.612
175,1:?,1:bot,,0.783
176,1:?,1:bot,,0.948
177,1:?,2:human,,0.934
178,1:?,1:bot,,1
179,1:?,1:bot,,0.906
180,1:?,1:bot,,0.639
181,1:?,1:bot,,0.811
182,1:?,1:bot,,0.724
183,1:?,1:bot,,1
184,1:?,1:bot,,0.761
185,1:?,1:bot,,0.763
186,1:?,2:human,,0.585
187,1:?,1:bot,,0.678
188,1:?,1:bot,,0.972
189,1:?,2:human,,0.67
190,1:?,1:bot,,0.78
191,1:?,2:human,,0.552
192,1:?,1:bot,,1
193,1:?,1:bot,,0.85
194,1:?,1:bot,,0.773
195,1:?,1:bot,,0.914
196,1:?,1:bot,,0.525
197,1:?,1:bot,,1
198,1:?,2:human,,0.603
199,1:?,2:human,,0.95
200,1:?,2:human,,0.729
201,1:?,1:bot,,0.55
202,1:?,1:bot,,0.706
203,1:?,1:bot,,0.933
204,1:?,1:bot,,0.644
205,1:?,2:human,,0.642
206,1:?,2:human,,0.95
207,1:?,1:bot,,0.664
208,1:?,1:bot,,0.636
209,1:?,1:bot,,1
210,1:?,1:bot,,0.856
211,1:?,2:human,,0.948
212,1:?,1:bot,,0.62
213,1:?,1:bot,,1
214,1:?,2:human,,1
215,1:?,1:bot,,1
216,1:?,1:bot,,0.9
217,1:?,1:bot,,0.75
218,1:?,2:human,,1
219,1:?,2:human,,0.672
220,1:?,1:bot,,0.85
221,1:?,2:human,,0.856
222,1:?,1:bot,,0.71
223,1:?,2:human,,0.843
224,1:?,1:bot,,0.931
225,1:?,1:bot,,0.694
226,1:?,1:bot,,0.739
227,1:?,2:human,,0.817
228,1:?,1:bot,,0.781
229,1:?,1:bot,,0.791
230,1:?,2:human,,0.532
231,1:?,1:bot,,0.936
232,1:?,1:bot,,0.607
233,1:?,2:human,,0.58
234,1:?,1:bot,,0.875
235,1:?,1:bot,,0.808
236,1:?,1:bot,,0.809
237,1:?,2:human,,0.621
238,1:?,1:bot,,0.894
239,1:?,1:bot,,1
240,1:?,1:bot,,0.848
241,1:?,1:bot,,1
242,1:?,2:human,,0.699
243,1:?,1:bot,,0.575
244,1:?,1:bot,,0.724
245,1:?,1:bot,,0.658
246,1:?,1:bot,,0.738
247,1:?,1:bot,,0.874
248,1:?,1:bot,,0.633
249,1:?,2:human,,0.578
250,1:?,2:human,,0.656
251,1:?,1:bot,,0.864
252,1:?,1:bot,,0.715
253,1:?,1:bot,,0.696
254,1:?,2:human,,0.749
255,1:?,1:bot,,0.983
256,1:?,1:bot,,0.808
257,1:?,1:bot,,0.801
258,1:?,1:bot,,0.774
259,1:?,1:bot,,0.939
260,1:?,1:bot,,0.736
261,1:?,2:human,,0.64
262,1:?,1:bot,,0.628
263,1:?,1:bot,,0.79
264,1:?,1:bot,,0.983
265,1:?,1:bot,,0.676
266,1:?,1:bot,,0.814
267,1:?,1:bot,,1
268,1:?,1:bot,,0.629
269,1:?,2:human,,0.592
270,1:?,1:bot,,0.983
271,1:?,1:bot,,1
272,1:?,1:bot,,0.802
273,1:?,1:bot,,0.56
274,1:?,1:bot,,0.533
275,1:?,1:bot,,0.86
276,1:?,1:bot,,0.633
277,1:?,1:bot,,0.736
278,1:?,1:bot,,1
279,1:?,2:human,,0.912
280,1:?,1:bot,,0.762
281,1:?,2:human,,0.569
282,1:?,1:bot,,0.897
283,1:?,2:human,,0.599
284,1:?,1:bot,,0.853
285,1:?,1:bot,,0.813
286,1:?,2:human,,0.527
287,1:?,1:bot,,0.793
288,1:?,1:bot,,0.7
289,1:?,1:bot,,0.724
290,1:?,1:bot,,0.5
291,1:?,2:human,,0.934
292,1:?,1:bot,,0.583
293,1:?,1:bot,,0.806
294,1:?,1:bot,,0.724
295,1:?,1:bot,,0.844
296,1:?,1:bot,,0.724
297,1:?,1:bot,,1
298,1:?,2:human,,0.957
299,1:?,1:bot,,0.563
300,1:?,2:human,,0.601
301,1:?,1:bot,,1
302,1:?,2:human,,1
303,1:?,1:bot,,1
304,1:?,2:human,,0.567
305,1:?,2:human,,0.749
306,1:?,1:bot,,1
307,1:?,2:human,,0.573
308,1:?,1:bot,,1
309,1:?,2:human,,0.553
310,1:?,2:human,,0.509
311,1:?,1:bot,,0.648
312,1:?,1:bot,,0.967
313,1:?,1:bot,,1
314,1:?,1:bot,,0.697
315,1:?,1:bot,,0.955
316,1:?,1:bot,,0.718
317,1:?,1:bot,,0.675
318,1:?,1:bot,,0.853
