=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.lazy.IBk -- -K 7 -W 0 -X -E -I -A "weka.core.neighboursearch.KDTree -A \"weka.core.EuclideanDistance -R first-last\" -S weka.core.neighboursearch.kdtrees.SlidingMidPointOfWidestSide -W 0.01 -L 40 -N" -num-decimal-places 8
Relation:     KNN_Emotion_train
Instances:    3000
Attributes:   6
              class
              joy
              surprise
              fear
              sadness
              anger
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

IB1 instance-based classifier
using 7 inverse-distance-weighted nearest neighbour(s) for classification

Attribute mappings:

Model attributes    	    Incoming attributes
--------------------	    ----------------
(nominal) class     	--> 1 missing (type mis-match)
(numeric) joy       	--> 2 (numeric) joy
(numeric) surprise  	--> 3 (numeric) surprise
(numeric) fear      	--> 4 (numeric) fear
(numeric) sadness   	--> 5 (numeric) sadness
(numeric) anger     	--> 6 (numeric) anger


Time taken to build model: 0.01 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.894
2,1:?,1:bot,,0.758
3,1:?,1:bot,,0.759
4,1:?,1:bot,,0.571
5,1:?,1:bot,,0.878
6,1:?,1:bot,,0.593
7,1:?,2:human,,0.625
8,1:?,1:bot,,0.806
9,1:?,1:bot,,0.572
10,1:?,1:bot,,0.743
11,1:?,1:bot,,0.884
12,1:?,2:human,,0.65
13,1:?,1:bot,,0.73
14,1:?,1:bot,,0.746
15,1:?,2:human,,0.571
16,1:?,1:bot,,0.893
17,1:?,1:bot,,0.762
18,1:?,1:bot,,0.571
19,1:?,1:bot,,0.507
20,1:?,1:bot,,0.64
21,1:?,1:bot,,0.87
22,1:?,1:bot,,0.635
23,1:?,1:bot,,0.695
24,1:?,2:human,,0.596
25,1:?,2:human,,0.501
26,1:?,2:human,,0.595
27,1:?,1:bot,,0.695
28,1:?,1:bot,,0.716
29,1:?,1:bot,,0.571
30,1:?,1:bot,,0.542
31,1:?,1:bot,,0.746
32,1:?,2:human,,0.641
33,1:?,1:bot,,0.727
34,1:?,1:bot,,0.564
35,1:?,1:bot,,0.546
36,1:?,2:human,,0.694
37,1:?,1:bot,,0.753
38,1:?,2:human,,0.528
39,1:?,1:bot,,0.722
40,1:?,1:bot,,0.681
41,1:?,1:bot,,0.571
42,1:?,1:bot,,0.613
43,1:?,2:human,,0.643
44,1:?,1:bot,,0.985
