=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.lazy.IBk -- -K 5 -W 0 -E -A "weka.core.neighboursearch.KDTree -A \"weka.core.EuclideanDistance -R first-last\" -S weka.core.neighboursearch.kdtrees.SlidingMidPointOfWidestSide -W 0.01 -L 40 -N" -num-decimal-places 8
Relation:     KNN_Emotion_train
Instances:    3000
Attributes:   6
              class
              joy
              surprise
              fear
              sadness
              anger
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

IB1 instance-based classifier
using 5 nearest neighbour(s) for classification

Attribute mappings:

Model attributes    	    Incoming attributes
--------------------	    ----------------
(nominal) class     	--> 1 missing (type mis-match)
(numeric) joy       	--> 2 (numeric) joy
(numeric) surprise  	--> 3 (numeric) surprise
(numeric) fear      	--> 4 (numeric) fear
(numeric) sadness   	--> 5 (numeric) sadness
(numeric) anger     	--> 6 (numeric) anger


Time taken to build model: 0.01 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,1
2,1:?,1:bot,,0.6
3,1:?,1:bot,,0.8
4,1:?,1:bot,,0.571
5,1:?,1:bot,,1
6,1:?,1:bot,,0.6
7,1:?,1:bot,,0.6
8,1:?,1:bot,,1
9,1:?,1:bot,,0.8
10,1:?,1:bot,,0.6
11,1:?,1:bot,,0.8
12,1:?,2:human,,0.6
13,1:?,1:bot,,0.8
14,1:?,1:bot,,0.8
15,1:?,2:human,,0.6
16,1:?,1:bot,,1
17,1:?,1:bot,,1
18,1:?,1:bot,,0.571
19,1:?,2:human,,0.6
20,1:?,1:bot,,0.6
21,1:?,1:bot,,0.8
22,1:?,2:human,,0.6
23,1:?,1:bot,,0.6
24,1:?,2:human,,0.6
25,1:?,1:bot,,0.6
26,1:?,2:human,,0.6
27,1:?,1:bot,,0.6
28,1:?,1:bot,,0.8
29,1:?,1:bot,,0.571
30,1:?,2:human,,0.6
31,1:?,1:bot,,0.8
32,1:?,2:human,,0.6
33,1:?,1:bot,,0.8
34,1:?,1:bot,,0.6
35,1:?,1:bot,,0.6
36,1:?,2:human,,0.6
37,1:?,1:bot,,0.6
38,1:?,1:bot,,0.6
39,1:?,1:bot,,0.8
40,1:?,1:bot,,0.6
41,1:?,1:bot,,0.571
42,1:?,1:bot,,0.6
43,1:?,1:bot,,0.6
44,1:?,1:bot,,0.8
45,1:?,1:bot,,0.571
46,1:?,1:bot,,0.8
47,1:?,2:human,,0.8
48,1:?,1:bot,,0.6
49,1:?,2:human,,0.6
50,1:?,1:bot,,0.6
51,1:?,1:bot,,0.6
52,1:?,1:bot,,0.6
53,1:?,1:bot,,0.8
54,1:?,1:bot,,0.6
55,1:?,1:bot,,0.8
56,1:?,1:bot,,0.8
57,1:?,1:bot,,0.8
58,1:?,2:human,,1
59,1:?,1:bot,,0.6
60,1:?,1:bot,,0.8
61,1:?,1:bot,,0.6
62,1:?,1:bot,,0.6
63,1:?,1:bot,,0.8
64,1:?,1:bot,,0.905
65,1:?,1:bot,,0.6
66,1:?,1:bot,,0.6
67,1:?,1:bot,,0.8
68,1:?,2:human,,0.6
69,1:?,1:bot,,0.8
70,1:?,2:human,,0.6
71,1:?,1:bot,,0.6
72,1:?,1:bot,,0.8
73,1:?,1:bot,,0.8
74,1:?,1:bot,,1
75,1:?,1:bot,,1
76,1:?,1:bot,,0.6
77,1:?,2:human,,0.6
78,1:?,1:bot,,0.8
79,1:?,1:bot,,0.6
80,1:?,1:bot,,0.6
81,1:?,1:bot,,0.895
82,1:?,1:bot,,0.6
83,1:?,1:bot,,0.6
84,1:?,1:bot,,1
85,1:?,1:bot,,0.8
86,1:?,1:bot,,0.8
87,1:?,1:bot,,0.6
88,1:?,1:bot,,0.8
89,1:?,1:bot,,1
90,1:?,1:bot,,0.6
91,1:?,2:human,,0.6
92,1:?,1:bot,,0.6
93,1:?,1:bot,,1
94,1:?,2:human,,0.6
95,1:?,1:bot,,0.5
96,1:?,1:bot,,0.8
97,1:?,1:bot,,1
98,1:?,2:human,,0.8
99,1:?,1:bot,,0.8
100,1:?,1:bot,,0.8
101,1:?,1:bot,,1
102,1:?,1:bot,,0.6
103,1:?,1:bot,,0.8
104,1:?,2:human,,0.6
105,1:?,2:human,,0.8
106,1:?,1:bot,,0.6
107,1:?,1:bot,,0.8
108,1:?,2:human,,0.8
109,1:?,2:human,,0.6
110,1:?,1:bot,,1
111,1:?,1:bot,,0.8
112,1:?,1:bot,,1
113,1:?,2:human,,0.6
114,1:?,1:bot,,0.571
115,1:?,2:human,,0.667
116,1:?,2:human,,0.6
117,1:?,1:bot,,0.8
118,1:?,1:bot,,0.6
119,1:?,1:bot,,0.8
120,1:?,1:bot,,1
121,1:?,1:bot,,0.6
122,1:?,1:bot,,0.8
123,1:?,2:human,,0.8
124,1:?,1:bot,,0.8
125,1:?,1:bot,,0.5
126,1:?,2:human,,0.6
127,1:?,2:human,,0.8
128,1:?,1:bot,,0.8
129,1:?,1:bot,,0.8
130,1:?,1:bot,,1
131,1:?,2:human,,0.667
132,1:?,1:bot,,0.6
133,1:?,1:bot,,0.571
134,1:?,1:bot,,0.8
135,1:?,1:bot,,0.8
136,1:?,1:bot,,1
137,1:?,1:bot,,0.571
138,1:?,1:bot,,0.8
139,1:?,2:human,,0.8
140,1:?,1:bot,,0.833
141,1:?,1:bot,,0.571
142,1:?,1:bot,,0.571
143,1:?,2:human,,0.6
144,1:?,1:bot,,0.6
145,1:?,1:bot,,0.8
146,1:?,2:human,,0.6
147,1:?,2:human,,0.6
148,1:?,2:human,,0.8
149,1:?,1:bot,,0.8
150,1:?,1:bot,,0.8
151,1:?,1:bot,,1
152,1:?,1:bot,,0.667
153,1:?,1:bot,,0.6
154,1:?,1:bot,,0.667
155,1:?,1:bot,,0.6
156,1:?,1:bot,,0.6
157,1:?,1:bot,,0.8
