=== Run information ===

Scheme:       weka.classifiers.misc.InputMappedClassifier -I -trim -W weka.classifiers.lazy.IBk -- -K 5 -W 0 -E -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.MinkowskiDistance -P 2.0 -R first-last\"" -num-decimal-places 4
Relation:     KNN_Quotes_Emotion_train
Instances:    3000
Attributes:   8
              text
              class
              joy
              surprise
              fear
              sadness
              anger
              isQuote
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

InputMappedClassifier:

IB1 instance-based classifier
using 5 nearest neighbour(s) for classification

Attribute mappings:

Model attributes    	    Incoming attributes
--------------------	    ----------------
(nominal) text      	--> 1 (nominal) text
(nominal) class     	--> 2 missing (type mis-match)
(numeric) joy       	--> 3 (numeric) joy
(numeric) surprise  	--> 4 (numeric) surprise
(numeric) fear      	--> 5 (numeric) fear
(numeric) sadness   	--> 6 (numeric) sadness
(numeric) anger     	--> 7 (numeric) anger
(numeric) isQuote   	--> 8 (numeric) isQuote


Time taken to build model: 0 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.8
2,1:?,1:bot,,0.8
3,1:?,1:bot,,0.6
4,1:?,1:bot,,0.571
5,1:?,1:bot,,0.8
6,1:?,1:bot,,0.6
7,1:?,1:bot,,0.6
8,1:?,1:bot,,1
9,1:?,2:human,,0.6
10,1:?,1:bot,,0.6
11,1:?,1:bot,,0.8
12,1:?,1:bot,,1
13,1:?,1:bot,,0.6
14,1:?,1:bot,,0.8
15,1:?,2:human,,0.6
16,1:?,1:bot,,0.8
17,1:?,1:bot,,0.8
18,1:?,1:bot,,0.571
19,1:?,2:human,,0.8
20,1:?,1:bot,,0.6
21,1:?,1:bot,,0.8
22,1:?,2:human,,0.6
23,1:?,1:bot,,0.6
24,1:?,2:human,,0.8
25,1:?,1:bot,,0.6
26,1:?,2:human,,0.8
27,1:?,1:bot,,0.6
28,1:?,1:bot,,0.8
29,1:?,1:bot,,0.571
30,1:?,1:bot,,1
31,1:?,1:bot,,1
32,1:?,2:human,,0.6
33,1:?,1:bot,,1
34,1:?,1:bot,,0.6
35,1:?,2:human,,0.6
36,1:?,2:human,,1
37,1:?,1:bot,,1
38,1:?,2:human,,0.6
39,1:?,1:bot,,0.6
40,1:?,1:bot,,0.6
41,1:?,1:bot,,0.571
42,1:?,1:bot,,0.6
43,1:?,1:bot,,0.6
44,1:?,1:bot,,0.8
45,1:?,1:bot,,0.571
46,1:?,1:bot,,0.6
47,1:?,2:human,,0.8
48,1:?,1:bot,,1
49,1:?,2:human,,0.6
50,1:?,1:bot,,0.6
51,1:?,2:human,,0.6
52,1:?,1:bot,,0.6
53,1:?,1:bot,,0.8
54,1:?,1:bot,,0.6
55,1:?,1:bot,,1
56,1:?,1:bot,,0.8
57,1:?,1:bot,,0.8
58,1:?,2:human,,1
59,1:?,2:human,,0.6
60,1:?,1:bot,,0.6
61,1:?,1:bot,,0.6
62,1:?,1:bot,,0.6
63,1:?,2:human,,0.6
64,1:?,1:bot,,0.905
65,1:?,1:bot,,0.6
66,1:?,1:bot,,0.6
67,1:?,1:bot,,0.6
68,1:?,2:human,,0.8
69,1:?,1:bot,,0.8
70,1:?,2:human,,0.6
71,1:?,1:bot,,1
72,1:?,1:bot,,1
73,1:?,1:bot,,0.8
74,1:?,1:bot,,1
75,1:?,1:bot,,0.8
