=== Run information ===

Scheme:       weka.classifiers.meta.MetaCost -cost-matrix "[0.0 1.0; 2.0 0.0]" -I 10 -P 100 -S 17 -W weka.classifiers.meta.AdaBoostM1 -num-decimal-places 8 -- -P 100 -S 19 -I 10 -W weka.classifiers.trees.RandomForest -num-decimal-places 8 -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     HW5_SolvingClassImbalance_SentimentAnalysis_Emotion_URLCount_train
Instances:    3000
Attributes:   12
              class
              score_tag
              agreement
              subjectivity
              confidence
              irony
              joy
              surprise
              fear
              sadness
              anger
              urlsCount
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

MetaCost cost sensitive classifier induction
Options: -cost-matrix "[0.0 1.0; 2.0 0.0]" -I 10 -P 100 -S 17 -W weka.classifiers.meta.AdaBoostM1 -num-decimal-places 8 -- -P 100 -S 19 -I 10 -W weka.classifiers.trees.RandomForest -num-decimal-places 8 -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Base learner: weka.classifiers.meta.AdaBoostM1 -P 100 -S 19 -I 10 -W weka.classifiers.trees.RandomForest -num-decimal-places 8 -- -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1

Classifier Model
AdaBoostM1: No boosting possible, one classifier used!
RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S -1148943845 -do-not-check-capabilities


Cost Matrix
 0 1
 2 0


Time taken to build model: 68.78 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.72
2,1:?,1:bot,,0.9
3,1:?,2:human,,0.65
4,1:?,1:bot,,1
5,1:?,1:bot,,0.51
6,1:?,2:human,,0.544
7,1:?,2:human,,0.99
8,1:?,1:bot,,0.73
9,1:?,1:bot,,0.7
10,1:?,1:bot,,0.58
11,1:?,2:human,,0.55
12,1:?,2:human,,0.57
13,1:?,1:bot,,0.78
14,1:?,1:bot,,0.713
15,1:?,1:bot,,0.51
16,1:?,1:bot,,0.73
17,1:?,2:human,,0.51
18,1:?,1:bot,,0.97
19,1:?,2:human,,0.64
20,1:?,1:bot,,0.5
21,1:?,1:bot,,0.69
22,1:?,1:bot,,0.66
23,1:?,1:bot,,0.69
24,1:?,1:bot,,0.72
25,1:?,1:bot,,0.76
26,1:?,1:bot,,0.56
27,1:?,2:human,,0.66
28,1:?,1:bot,,0.77
29,1:?,1:bot,,1
30,1:?,1:bot,,0.61
31,1:?,1:bot,,0.58
32,1:?,2:human,,0.96
33,1:?,1:bot,,0.94
34,1:?,1:bot,,0.59
35,1:?,1:bot,,0.9
36,1:?,2:human,,0.98
37,1:?,1:bot,,0.87
38,1:?,2:human,,0.53
39,1:?,1:bot,,0.56
40,1:?,2:human,,0.708
41,1:?,1:bot,,0.97
42,1:?,1:bot,,0.76
43,1:?,2:human,,0.8
44,1:?,1:bot,,0.99
45,1:?,1:bot,,1
46,1:?,2:human,,0.57
47,1:?,1:bot,,0.76
48,1:?,2:human,,0.63
49,1:?,1:bot,,0.77
50,1:?,2:human,,0.83
51,1:?,1:bot,,0.679
52,1:?,2:human,,0.88
53,1:?,1:bot,,0.63
54,1:?,1:bot,,0.53
55,1:?,1:bot,,0.85
56,1:?,1:bot,,0.6
57,1:?,1:bot,,0.84
58,1:?,2:human,,0.94
59,1:?,1:bot,,0.55
60,1:?,1:bot,,0.79
61,1:?,1:bot,,0.8
62,1:?,1:bot,,0.72
63,1:?,1:bot,,0.52
64,1:?,2:human,,0.69
65,1:?,1:bot,,0.51
66,1:?,1:bot,,0.786
67,1:?,1:bot,,0.91
68,1:?,1:bot,,0.74
69,1:?,1:bot,,0.53
70,1:?,1:bot,,0.765
71,1:?,1:bot,,0.7
72,1:?,1:bot,,0.54
73,1:?,1:bot,,0.85
74,1:?,1:bot,,0.82
75,1:?,1:bot,,0.72
76,1:?,1:bot,,0.91
77,1:?,1:bot,,0.52
78,1:?,1:bot,,0.78
79,1:?,1:bot,,0.81
80,1:?,1:bot,,0.83
81,1:?,1:bot,,0.81
82,1:?,1:bot,,0.71
83,1:?,2:human,,0.99
84,1:?,1:bot,,0.8
85,1:?,1:bot,,0.85
86,1:?,1:bot,,0.75
87,1:?,1:bot,,0.92
88,1:?,1:bot,,0.67
89,1:?,1:bot,,0.742
90,1:?,1:bot,,0.92
91,1:?,1:bot,,0.765
92,1:?,1:bot,,0.6
93,1:?,1:bot,,0.95
94,1:?,1:bot,,0.67
95,1:?,1:bot,,0.532
96,1:?,2:human,,0.65
97,1:?,1:bot,,0.896
98,1:?,2:human,,0.52
99,1:?,1:bot,,0.62
100,1:?,1:bot,,0.897
101,1:?,1:bot,,0.68
102,1:?,1:bot,,0.63
103,1:?,1:bot,,0.71
104,1:?,1:bot,,0.83
105,1:?,1:bot,,0.75
106,1:?,2:human,,0.53
107,1:?,2:human,,0.559
108,1:?,2:human,,0.85
109,1:?,1:bot,,0.765
110,1:?,1:bot,,0.82
111,1:?,2:human,,0.72
112,1:?,1:bot,,1
113,1:?,1:bot,,0.77
114,1:?,1:bot,,0.97
