=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 8 -K 0 -M 1.0 -V 0.001 -S 1 -B -num-decimal-places 8
Relation:     ContrastPatternClassifier_SentimentAnalysis_Emotion_train
Instances:    3000
Attributes:   11
              class
              score_tag
              agreement
              subjectivity
              confidence
              irony
              joy
              surprise
              fear
              sadness
              anger
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -B -do-not-check-capabilities -num-decimal-places 8

Time taken to build model: 0.5 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.77
2,1:?,1:bot,,0.92
3,1:?,1:bot,,0.51
4,1:?,1:bot,,0.594
5,1:?,1:bot,,0.77
6,1:?,1:bot,,0.639
7,1:?,2:human,,0.616
8,1:?,1:bot,,0.759
9,1:?,1:bot,,0.76
10,1:?,1:bot,,0.67
11,1:?,1:bot,,0.56
12,1:?,2:human,,0.51
13,1:?,1:bot,,0.74
14,1:?,1:bot,,0.682
15,1:?,1:bot,,0.59
16,1:?,1:bot,,0.582
17,1:?,1:bot,,0.584
18,1:?,1:bot,,0.957
19,1:?,2:human,,0.62
20,1:?,2:human,,0.55
21,1:?,1:bot,,0.67
22,1:?,1:bot,,0.63
23,1:?,1:bot,,0.51
24,1:?,2:human,,0.59
25,1:?,1:bot,,0.795
26,1:?,1:bot,,0.688
27,1:?,1:bot,,0.705
28,1:?,1:bot,,0.91
29,1:?,1:bot,,0.594
30,1:?,1:bot,,0.51
31,1:?,1:bot,,0.651
32,1:?,2:human,,0.885
33,1:?,1:bot,,0.803
34,1:?,1:bot,,0.52
35,1:?,1:bot,,0.76
36,1:?,2:human,,0.749
37,1:?,1:bot,,0.84
38,1:?,2:human,,0.57
39,1:?,1:bot,,0.52
40,1:?,2:human,,0.509
41,1:?,1:bot,,0.957
42,1:?,1:bot,,0.69
43,1:?,2:human,,0.72
44,1:?,1:bot,,0.99
45,1:?,1:bot,,0.594
46,1:?,2:human,,0.6
47,1:?,1:bot,,0.668
48,1:?,1:bot,,0.53
49,1:?,1:bot,,0.8
50,1:?,1:bot,,0.66
