=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -attribute-importance -I 250 -num-slots 16 -K 0 -M 1.0 -V 0.001 -S 19 -num-decimal-places 16
Relation:     ContrastPatternClassifier_SentimentAnalysis_Emotion_train
Instances:    3000
Attributes:   11
              class
              score_tag
              agreement
              subjectivity
              confidence
              irony
              joy
              surprise
              fear
              sadness
              anger
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

RandomForest

Bagging with 250 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 19 -do-not-check-capabilities -num-decimal-places 16

Attribute importance based on average impurity decrease (and number of nodes using that attribute)

0.3997512755988553 (  4214)  subjectivity
0.3907636364753932 ( 30693)  joy
0.363326891947063 (  1301)  agreement
0.3587590889850015 ( 26703)  surprise
0.3461244700043812 (  3892)  confidence
0.3330814523451011 ( 24241)  fear
0.3052392750487787 ( 22408)  sadness
0.2782586782824039 ( 21117)  anger
0.272291639893909 (   231)  irony
0.2598457845136093 (  2971)  score_tag


Time taken to build model: 0.39 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.716
2,1:?,1:bot,,0.87
3,1:?,2:human,,0.555
4,1:?,1:bot,,0.579
5,1:?,1:bot,,0.684
6,1:?,1:bot,,0.627
7,1:?,2:human,,0.626
8,1:?,1:bot,,0.732
9,1:?,1:bot,,0.746
10,1:?,1:bot,,0.672
11,1:?,1:bot,,0.641
12,1:?,1:bot,,0.568
13,1:?,1:bot,,0.757
14,1:?,1:bot,,0.758
15,1:?,1:bot,,0.602
16,1:?,1:bot,,0.627
17,1:?,1:bot,,0.593
18,1:?,1:bot,,0.917
19,1:?,2:human,,0.668
20,1:?,1:bot,,0.524
21,1:?,1:bot,,0.66
22,1:?,1:bot,,0.651
23,1:?,1:bot,,0.608
24,1:?,2:human,,0.544
25,1:?,1:bot,,0.732
26,1:?,1:bot,,0.701
27,1:?,1:bot,,0.636
28,1:?,1:bot,,0.834
29,1:?,1:bot,,0.579
30,1:?,1:bot,,0.604
31,1:?,1:bot,,0.651
32,1:?,2:human,,0.875
33,1:?,1:bot,,0.816
34,1:?,1:bot,,0.507
35,1:?,1:bot,,0.792
36,1:?,2:human,,0.655
37,1:?,1:bot,,0.884
38,1:?,1:bot,,0.508
39,1:?,1:bot,,0.576
40,1:?,2:human,,0.581
41,1:?,1:bot,,0.917
42,1:?,1:bot,,0.636
43,1:?,2:human,,0.729
44,1:?,1:bot,,0.988
45,1:?,1:bot,,0.579
46,1:?,2:human,,0.604
47,1:?,1:bot,,0.715
48,1:?,1:bot,,0.528
49,1:?,1:bot,,0.792
50,1:?,1:bot,,0.572
51,1:?,1:bot,,0.696
52,1:?,2:human,,0.588
53,1:?,1:bot,,0.572
54,1:?,2:human,,0.544
55,1:?,1:bot,,0.927
56,1:?,1:bot,,0.674
57,1:?,1:bot,,0.832
58,1:?,2:human,,0.835
59,1:?,1:bot,,0.647
60,1:?,1:bot,,0.712
61,1:?,1:bot,,0.736
62,1:?,1:bot,,0.61
63,1:?,1:bot,,0.532
64,1:?,2:human,,0.634
65,1:?,1:bot,,0.536
66,1:?,1:bot,,0.696
67,1:?,1:bot,,0.868
68,1:?,1:bot,,0.74
69,1:?,1:bot,,0.607
70,1:?,1:bot,,0.788
71,1:?,1:bot,,0.664
72,1:?,1:bot,,0.672
73,1:?,1:bot,,0.86
74,1:?,1:bot,,0.776
75,1:?,1:bot,,0.712
76,1:?,1:bot,,0.848
77,1:?,1:bot,,0.569
78,1:?,1:bot,,0.823
79,1:?,1:bot,,0.808
80,1:?,1:bot,,0.856
81,1:?,1:bot,,0.773
82,1:?,1:bot,,0.712
83,1:?,2:human,,0.626
84,1:?,1:bot,,0.702
85,1:?,1:bot,,0.792
86,1:?,1:bot,,0.774
87,1:?,1:bot,,0.88
88,1:?,1:bot,,0.648
89,1:?,1:bot,,0.764
90,1:?,1:bot,,0.844
91,1:?,1:bot,,0.788
92,1:?,1:bot,,0.548
93,1:?,1:bot,,0.632
94,1:?,1:bot,,0.567
95,1:?,1:bot,,0.519
96,1:?,2:human,,0.62
97,1:?,1:bot,,0.901
98,1:?,1:bot,,0.508
99,1:?,1:bot,,0.63
100,1:?,1:bot,,0.931
101,1:?,1:bot,,0.716
102,1:?,1:bot,,0.626
103,1:?,1:bot,,0.689
104,1:?,1:bot,,0.742
105,1:?,2:human,,0.672
106,1:?,2:human,,0.536
107,1:?,2:human,,0.551
108,1:?,2:human,,0.836
109,1:?,1:bot,,0.788
110,1:?,1:bot,,0.852
111,1:?,1:bot,,0.532
112,1:?,1:bot,,1
113,1:?,1:bot,,0.76
114,1:?,1:bot,,0.917
115,1:?,1:bot,,0.679
116,1:?,1:bot,,0.769
117,1:?,1:bot,,0.947
118,1:?,1:bot,,0.542
119,1:?,1:bot,,0.884
120,1:?,1:bot,,0.801
121,1:?,1:bot,,0.588
122,1:?,1:bot,,0.922
123,1:?,1:bot,,0.684
124,1:?,1:bot,,0.596
125,1:?,2:human,,0.596
126,1:?,1:bot,,0.866
127,1:?,1:bot,,0.878
128,1:?,1:bot,,0.868
129,1:?,1:bot,,0.64
130,1:?,1:bot,,0.796
131,1:?,2:human,,0.637
132,1:?,1:bot,,0.808
133,1:?,1:bot,,0.917
134,1:?,1:bot,,0.848
135,1:?,1:bot,,0.811
136,1:?,1:bot,,0.584
137,1:?,1:bot,,0.917
138,1:?,1:bot,,0.693
139,1:?,2:human,,0.564
140,1:?,1:bot,,0.783
141,1:?,1:bot,,0.579
142,1:?,1:bot,,0.917
143,1:?,2:human,,0.644
144,1:?,1:bot,,0.56
145,1:?,1:bot,,0.632
146,1:?,1:bot,,0.536
147,1:?,1:bot,,0.625
148,1:?,1:bot,,0.505
149,1:?,1:bot,,0.732
150,1:?,1:bot,,0.848
151,1:?,1:bot,,0.593
152,1:?,1:bot,,0.66
153,1:?,1:bot,,0.628
154,1:?,1:bot,,0.576
155,1:?,1:bot,,0.548
156,1:?,2:human,,0.688
157,1:?,1:bot,,0.688
158,1:?,1:bot,,0.564
159,1:?,1:bot,,0.728
160,1:?,1:bot,,0.674
161,1:?,1:bot,,0.572
162,1:?,1:bot,,0.571
