=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 75 -I 125 -num-slots 16 -K 0 -M 1.0 -V 0.001 -S 19 -B -num-decimal-places 16 -batch-size 85
Relation:     ContrastPatternClassifier_SentimentAnalysis_Emotion_train
Instances:    3000
Attributes:   11
              class
              score_tag
              agreement
              subjectivity
              confidence
              irony
              joy
              surprise
              fear
              sadness
              anger
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Classifier model (full training set) ===

RandomForest

Bagging with 125 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 19 -B -do-not-check-capabilities -num-decimal-places 16 -batch-size 85

Time taken to build model: 0.14 seconds

=== Predictions on test set ===

inst#,actual,predicted,error,prediction
1,1:?,1:bot,,0.616
2,1:?,1:bot,,0.872
3,1:?,2:human,,0.6
4,1:?,1:bot,,0.607
5,1:?,1:bot,,0.696
6,1:?,1:bot,,0.646
7,1:?,2:human,,0.635
8,1:?,1:bot,,0.729
9,1:?,1:bot,,0.616
10,1:?,1:bot,,0.688
11,1:?,1:bot,,0.584
12,1:?,2:human,,0.504
13,1:?,1:bot,,0.784
14,1:?,1:bot,,0.719
15,1:?,1:bot,,0.568
16,1:?,1:bot,,0.631
17,1:?,1:bot,,0.6
18,1:?,1:bot,,0.918
19,1:?,2:human,,0.688
20,1:?,2:human,,0.52
21,1:?,1:bot,,0.68
22,1:?,1:bot,,0.678
23,1:?,1:bot,,0.552
24,1:?,2:human,,0.536
25,1:?,1:bot,,0.72
26,1:?,1:bot,,0.68
27,1:?,1:bot,,0.592
28,1:?,1:bot,,0.792
29,1:?,1:bot,,0.607
30,1:?,1:bot,,0.656
31,1:?,1:bot,,0.568
32,1:?,2:human,,0.923
33,1:?,1:bot,,0.792
34,1:?,1:bot,,0.528
35,1:?,1:bot,,0.773
36,1:?,2:human,,0.764
37,1:?,1:bot,,0.807
38,1:?,2:human,,0.504
39,1:?,1:bot,,0.544
40,1:?,2:human,,0.603
41,1:?,1:bot,,0.918
42,1:?,1:bot,,0.64
43,1:?,2:human,,0.738
44,1:?,1:bot,,0.976
45,1:?,1:bot,,0.607
46,1:?,2:human,,0.584
47,1:?,1:bot,,0.711
48,1:?,1:bot,,0.568
49,1:?,1:bot,,0.72
50,1:?,1:bot,,0.624
51,1:?,1:bot,,0.68
52,1:?,2:human,,0.56
53,1:?,1:bot,,0.608
54,1:?,2:human,,0.56
55,1:?,1:bot,,0.856
56,1:?,1:bot,,0.668
57,1:?,1:bot,,0.856
58,1:?,2:human,,0.748
59,1:?,1:bot,,0.732
60,1:?,1:bot,,0.72
61,1:?,1:bot,,0.672
62,1:?,1:bot,,0.656
63,1:?,1:bot,,0.552
64,1:?,2:human,,0.629
65,1:?,1:bot,,0.534
66,1:?,1:bot,,0.705
67,1:?,1:bot,,0.848
68,1:?,1:bot,,0.72
69,1:?,1:bot,,0.672
70,1:?,1:bot,,0.811
71,1:?,1:bot,,0.712
72,1:?,1:bot,,0.615
73,1:?,1:bot,,0.792
74,1:?,1:bot,,0.752
75,1:?,1:bot,,0.648
76,1:?,1:bot,,0.896
77,1:?,2:human,,0.552
