class,score_tag,agreement,subjectivity,confidence,irony,joy,surprise,fear,sadness,anger,urlsCount,mentionsCount,isRetweet,wordsCount,hashtagsCount
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.7035837173461914,0.1284189075231552,0.11391761898994446,0.04591129720211029,0.008168450556695461,0,0,0,21,0
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.5444351434707642,0.19053326547145844,0.14571726322174072,0.11255890876054764,0.006755413953214884,0,0,0,16,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3285781741142273,0.18077895045280457,0.17407891154289246,0.1611349731683731,0.15542897582054138,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43830543756484985,0.2509562373161316,0.14797496795654297,0.13754382729530334,0.025219593197107315,0,1,0,11,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.44189777970314026,0.36619293689727783,0.06861419230699539,0.064704030752182,0.05859106034040451,0,0,0,4,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4037413001060486,0.30584216117858887,0.22206565737724304,0.06108887493610382,0.007261990569531918,0,1,1,12,0
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.4046875536441803,0.3339782655239105,0.16410641372203827,0.05308467522263527,0.04414307326078415,0,0,0,20,0
bot,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.46651142835617065,0.23525546491146088,0.1733095943927765,0.08963016420602798,0.03529337793588638,0,1,0,16,0
bot,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.29400938749313354,0.2674131989479065,0.1803961843252182,0.16322948038578033,0.09495174884796143,0,0,0,19,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43063002824783325,0.32729941606521606,0.12487046420574188,0.10461275279521942,0.012587354518473148,2,1,1,18,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.370571494102478,0.3024212419986725,0.19778230786323547,0.09496399760246277,0.03426099568605423,0,1,0,22,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.6778501272201538,0.225673109292984,0.05752938613295555,0.022815711796283722,0.016131646931171417,0,1,0,14,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3365311622619629,0.23410920798778534,0.21376651525497437,0.15034854412078857,0.06524460017681122,0,1,0,4,0
bot,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.32338863611221313,0.26786378026008606,0.229213148355484,0.17295880615711212,0.006575617007911205,0,1,0,16,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43374669551849365,0.16955772042274475,0.16754524409770966,0.16035886108875275,0.0687914788722992,0,1,0,20,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4050688147544861,0.1990857869386673,0.19464415311813354,0.10540162771940231,0.09579961001873016,0,0,0,9,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5281898379325867,0.2398245930671692,0.11263450980186462,0.08174929767847061,0.03760174661874771,1,1,1,10,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5611701607704163,0.27581754326820374,0.1029520183801651,0.049806661903858185,0.010253588669002056,0,0,0,15,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3800731897354126,0.30389291048049927,0.18211917579174042,0.12474530190229416,0.009169436059892178,0,0,0,26,0
bot,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.24091140925884247,0.2316027581691742,0.18760445713996887,0.18249830603599548,0.1573830246925354,0,1,0,21,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3227851986885071,0.20931163430213928,0.17130152881145477,0.15259526669979095,0.1440064013004303,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.33231687545776367,0.2146967053413391,0.18614649772644043,0.1415424942970276,0.1252974271774292,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3255477249622345,0.3022495210170746,0.16775885224342346,0.12522688508033752,0.07921706140041351,0,1,0,9,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5648090839385986,0.23055559396743774,0.14527210593223572,0.035985998809337616,0.02337728999555111,0,0,0,8,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4622255563735962,0.23873677849769592,0.23731665313243866,0.0431380420923233,0.01858295127749443,0,1,0,11,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.46192464232444763,0.2035333216190338,0.1427813321352005,0.11185205727815628,0.07990866899490356,0,2,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.36245355010032654,0.18821102380752563,0.177267387509346,0.15599489212036133,0.11607310175895691,0,1,0,2,0
bot,N,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.49179190397262573,0.35404378175735474,0.06768517941236496,0.04776030406355858,0.0387188158929348,0,0,0,13,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.23314480483531952,0.2123224437236786,0.20197448134422302,0.18623527884483337,0.16632302105426788,0,0,0,1,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2867337465286255,0.2580241858959198,0.1849336475133896,0.14121779799461365,0.12909063696861267,0,0,0,15,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43342041969299316,0.3720158636569977,0.11618492007255554,0.05055274814367294,0.02782605029642582,0,1,0,16,0
bot,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.3827728033065796,0.27477484941482544,0.19586694240570068,0.10862915217876434,0.03795626014471054,0,2,0,14,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.501457154750824,0.33754152059555054,0.07945477962493896,0.054401688277721405,0.02714485488831997,0,0,0,8,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.33197957277297974,0.23857730627059937,0.18059071898460388,0.1627306342124939,0.08612177520990372,0,1,0,4,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3084637224674225,0.23412923514842987,0.2136375606060028,0.17135587334632874,0.07241359353065491,0,0,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3974520266056061,0.19718101620674133,0.1685553938150406,0.12830573320388794,0.10850581526756287,0,1,0,3,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5180297493934631,0.27601444721221924,0.1516544222831726,0.0369979664683342,0.01730342209339142,0,0,0,23,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.34874656796455383,0.24923375248908997,0.23676615953445435,0.09673088788986206,0.0685226172208786,0,1,0,13,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4641416370868683,0.19966018199920654,0.18796497583389282,0.0981082022190094,0.05012500286102295,0,0,0,28,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.27749237418174744,0.2532760500907898,0.20512709021568298,0.1895759403705597,0.0745285227894783,0,1,1,4,0
bot,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.8620709180831909,0.09443037211894989,0.03731876239180565,0.0035267374478280544,0.0026532975025475025,0,0,0,28,0
bot,P+,AGREEMENT,OBJECTIVE,98,NONIRONIC,0.3911679983139038,0.2141524851322174,0.1886119544506073,0.1168585866689682,0.08920899778604507,0,0,0,18,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40553462505340576,0.16343483328819275,0.15570111572742462,0.14926943182945251,0.12605997920036316,0,1,0,2,0
bot,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.2633292078971863,0.20723974704742432,0.1858886182308197,0.18001006543636322,0.16353237628936768,0,0,0,15,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5494593381881714,0.30641934275627136,0.04946552962064743,0.04934438318014145,0.04531135410070419,0,1,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.38455435633659363,0.33358901739120483,0.14894768595695496,0.0774642750620842,0.055444639176130295,0,1,0,16,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5681711435317993,0.2161143720149994,0.12087416648864746,0.05729556828737259,0.03754475712776184,0,0,0,10,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.44296833872795105,0.2725459635257721,0.1647273749113083,0.10821816325187683,0.011540140956640244,0,1,0,19,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.40553462505340576,0.16343483328819275,0.15570111572742462,0.14926943182945251,0.12605997920036316,0,1,0,2,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5528663396835327,0.312348872423172,0.08013734221458435,0.045340731739997864,0.009306713938713074,0,0,0,22,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.37900078296661377,0.2574695944786072,0.19112907350063324,0.11643382906913757,0.05596672371029854,0,0,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.43559443950653076,0.34129735827445984,0.1172839105129242,0.07723647356033325,0.028587792068719864,0,2,0,23,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.287598580121994,0.23613885045051575,0.1800655871629715,0.17675161361694336,0.11944535374641418,0,0,0,9,0
bot,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.3960838317871094,0.2258889079093933,0.15090662240982056,0.1298999786376953,0.09722069650888443,0,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2663515508174896,0.21004599332809448,0.19698724150657654,0.16816328465938568,0.1584518849849701,0,0,0,1,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.6579041481018066,0.11542612314224243,0.08356301486492157,0.08170367777347565,0.061403073370456696,0,0,0,5,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.24731692671775818,0.2325572669506073,0.196268230676651,0.17965446412563324,0.1442030966281891,0,1,0,3,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5608036518096924,0.20866341888904572,0.10096941888332367,0.06665372848510742,0.06290976703166962,0,0,0,23,0
bot,P,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.6090329885482788,0.3198466897010803,0.04312018305063248,0.02355087921023369,0.004449254833161831,0,0,0,24,1
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4190862476825714,0.32271257042884827,0.13532795011997223,0.0641622543334961,0.058710984885692596,0,0,0,9,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.6159172654151917,0.17344152927398682,0.08964239060878754,0.06961295753717422,0.05138587951660156,0,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5661032199859619,0.19231532514095306,0.1138005182147026,0.11348360776901245,0.014297330752015114,0,1,0,12,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3376343250274658,0.26538214087486267,0.21149009466171265,0.16250556707382202,0.022987857460975647,0,0,0,19,0
bot,P+,AGREEMENT,SUBJECTIVE,98,NONIRONIC,0.3842328190803528,0.2873309254646301,0.1505821794271469,0.09847244620323181,0.07938164472579956,0,1,1,21,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4441390037536621,0.28388598561286926,0.11155766248703003,0.08761583268642426,0.07280152291059494,0,1,0,2,0
bot,P,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.3638555109500885,0.32761555910110474,0.1768409013748169,0.08833656460046768,0.04335146024823189,0,1,0,9,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.495805025100708,0.30606740713119507,0.0974220335483551,0.07319605350494385,0.027509447187185287,0,0,0,18,0
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.34555619955062866,0.2589389383792877,0.21651235222816467,0.12058481574058533,0.05840764567255974,0,1,0,11,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.28096243739128113,0.24504102766513824,0.2025902420282364,0.13655076920986176,0.13485553860664368,0,1,0,2,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5494593381881714,0.30641934275627136,0.04946552962064743,0.04934438318014145,0.04531135410070419,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.37799444794654846,0.2440858781337738,0.1983305811882019,0.13028843700885773,0.04930061101913452,0,1,0,4,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4427693784236908,0.26904231309890747,0.1051497608423233,0.09333403408527374,0.08970454335212708,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4098449945449829,0.37550991773605347,0.11740124225616455,0.05795782059431076,0.039285995066165924,0,0,0,11,0
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.39114218950271606,0.3373197615146637,0.18034237623214722,0.05844752863049507,0.03274819254875183,0,0,0,21,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5208041667938232,0.2931177616119385,0.1461087167263031,0.03136259317398071,0.00860680639743805,2,3,1,11,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2910833954811096,0.23195552825927734,0.22614380717277527,0.1843959540128708,0.06642130017280579,0,1,0,20,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3909176290035248,0.25381287932395935,0.20248070359230042,0.08767059445381165,0.06511813402175903,0,0,0,10,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3793295919895172,0.20968887209892273,0.16684526205062866,0.1255301982164383,0.1186060905456543,0,1,0,2,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.5744050741195679,0.1861850619316101,0.10908350348472595,0.10803721845149994,0.022289101034402847,0,0,0,8,1
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.37586137652397156,0.2702198326587677,0.17054249346256256,0.1302647590637207,0.05311151593923569,0,0,0,19,1
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.3352855145931244,0.2651897966861725,0.17729386687278748,0.11836004257202148,0.10387074947357178,0,0,0,16,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.33231687545776367,0.2146967053413391,0.18614649772644043,0.1415424942970276,0.1252974271774292,0,1,0,2,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.5494593381881714,0.30641934275627136,0.04946552962064743,0.04934438318014145,0.04531135410070419,0,1,0,3,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.22237756848335266,0.21934738755226135,0.21248570084571838,0.18656747043132782,0.15922187268733978,0,0,0,1,0
bot,P+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3467322587966919,0.30042707920074463,0.17375734448432922,0.12804469466209412,0.05103860795497894,0,1,0,24,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.25181102752685547,0.25125348567962646,0.20907306671142578,0.20536842942237854,0.08249405026435852,0,1,0,20,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2690209746360779,0.2436792254447937,0.22524914145469666,0.16460546851158142,0.09744516015052795,0,1,0,4,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.28058695793151855,0.25882193446159363,0.18793976306915283,0.1434691995382309,0.1291821300983429,0,0,0,12,0
bot,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.38368314504623413,0.3594551682472229,0.20911605656147003,0.030385702848434448,0.017359919846057892,0,1,0,15,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.28253090381622314,0.21716007590293884,0.19294588267803192,0.16495643556118011,0.14240673184394836,0,1,0,2,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.44638094305992126,0.19419606029987335,0.13302908837795258,0.11574706435203552,0.1106468215584755,0,1,0,2,0
bot,P+,AGREEMENT,SUBJECTIVE,90,NONIRONIC,0.5694327354431152,0.13596223294734955,0.11075796186923981,0.09327395260334015,0.09057308733463287,0,0,0,12,0
bot,N,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.5864460468292236,0.1332736313343048,0.10126109421253204,0.09052359312772751,0.0884956642985344,0,1,0,18,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3412296175956726,0.31398239731788635,0.16345569491386414,0.1233622282743454,0.0579700693488121,0,1,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.27355578541755676,0.2575470507144928,0.24782758951187134,0.18140819668769836,0.039661385118961334,0,1,0,20,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4819144606590271,0.4019428491592407,0.08882886916399002,0.0226580947637558,0.004655712284147739,1,1,1,11,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.2668234705924988,0.24904683232307434,0.16585694253444672,0.1616552472114563,0.15661747753620148,0,1,0,23,0
bot,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.5107758045196533,0.3034626245498657,0.13220568001270294,0.03694423288106918,0.016611643135547638,0,0,0,23,0
bot,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.6083034873008728,0.23851221799850464,0.1094389334321022,0.02434711903333664,0.019398242235183716,0,0,0,22,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.38283658027648926,0.38236844539642334,0.13542404770851135,0.08651520311832428,0.012855744920670986,0,1,0,17,0
bot,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.6674656867980957,0.16972500085830688,0.061606138944625854,0.05359862372279167,0.047604627907276154,0,1,1,17,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4335591197013855,0.33912819623947144,0.15050089359283447,0.05033937096595764,0.02647247724235058,0,1,0,12,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3170788288116455,0.24479585886001587,0.2018415331840515,0.17564690113067627,0.06063687428832054,0,0,0,5,0
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.27753180265426636,0.20504724979400635,0.18852820992469788,0.17707553505897522,0.1518172025680542,0,1,0,8,0
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.39884841442108154,0.3034099042415619,0.1987374871969223,0.07956653088331223,0.01943768747150898,0,0,0,8,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.6790724396705627,0.17984312772750854,0.08236373960971832,0.03554704785346985,0.02317362278699875,0,0,0,4,0
bot,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.3958871364593506,0.3869987428188324,0.10768364369869232,0.06616610288619995,0.043264370411634445,0,0,0,14,0
