@relation NO_TEXT_SentimentAnalysis_Emotion_MiscellaneousFeatures_train

@attribute class {bot,human}
@attribute score_tag {P,NONE,N,NEU,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric
@attribute urlsCount numeric
@attribute mentionsCount numeric
@attribute isRetweet numeric
@attribute wordsCount numeric
@attribute hashtagsCount numeric
@attribute upperCaseLettersCount numeric
@attribute lowerCaseLettersCount numeric
@attribute upperCaseWordsCount numeric
@attribute nonAlphabeticalCharactersCount numeric
@attribute averageWordLength numeric
@attribute isFamousQuote {False,True}

@data
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.703584,0.128419,0.113918,0.045911,0.008168,0,0,0,21,0,0,71,0,23,3.52381,False
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.544435,0.190533,0.145717,0.112559,0.006755,0,0,0,16,0,3,67,0,17,4.5,True
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.328578,0.180779,0.174079,0.161135,0.155429,0,1,0,3,0,1,15,0,4,4.5,False
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.438305,0.250956,0.147975,0.137544,0.02522,0,1,0,11,0,6,27,0,15,3,False
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.441898,0.366193,0.068614,0.064704,0.058591,0,0,0,4,0,0,16,0,3,4,False
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.403741,0.305842,0.222066,0.061089,0.007262,0,1,1,12,0,6,43,2,13,3.363636,False
bot,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.404688,0.333978,0.164106,0.053085,0.044143,0,0,0,20,0,3,67,0,21,3.6,True
bot,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.466511,0.235255,0.17331,0.08963,0.035293,0,1,0,16,0,9,50,1,21,3.8,False
bot,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.294009,0.267413,0.180396,0.163229,0.094952,0,0,0,19,0,7,102,0,23,6,False
bot,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43063,0.327299,0.12487,0.104613,0.012587,2,1,1,18,0,19,87,1,33,6.235294,False
bot,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.370571,0.302421,0.197782,0.094964,0.034261,0,1,0,22,0,4,97,0,24,4.238095,True
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.67785,0.225673,0.057529,0.022816,0.016132,0,1,0,14,0,4,61,0,20,4.615385,False
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.336531,0.234109,0.213767,0.150349,0.065245,0,1,0,4,0,0,24,0,4,4.666667,False
