text,isBot,score_tag,agreement,subjectivity,confidence,irony,joy,surprise,fear,sadness,anger,urlsCount,mentionsCount,isRetweet,wordsCount
i remember in 7th grade we used to fight the 8th graders at recess . dem were the days man lol,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.7035837173461914,0.1284189075231552,0.11391761898994446,0.04591129720211029,0.008168450556695461,0,0,0,21
You cannot perform in a manner inconsistent with the way you see yourself. - Zig Ziglar,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.5444351434707642,0.19053326547145844,0.14571726322174072,0.11255890876054764,0.006755413953214884,0,0,0,16
@bpadthai Follow me!,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.3285781741142273,0.18077895045280457,0.17407891154289246,0.1611349731683731,0.15542897582054138,0,1,0,3
@TayaPYT thanx babe .. Xoxo .. See u in a second,1,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43830543756484985,0.2509562373161316,0.14797496795654297,0.13754382729530334,0.025219593197107315,0,1,0,11
best taste in music,1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.44189777970314026,0.36619293689727783,0.06861419230699539,0.064704030752182,0.05859106034040451,0,0,0,4
RT @KarlJCompton: I feel like a banshee today with my hair ugh,1,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.4037413001060486,0.30584216117858887,0.22206565737724304,0.06108887493610382,0.007261990569531918,0,1,1,12
What do we live for if it is not to make life less difficult for each other? - George Eliot,1,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.4046875536441803,0.3339782655239105,0.16410641372203827,0.05308467522263527,0.04414307326078415,0,0,0,20
@T_H_O_D Aim for the moon. If you miss you may hit a star. William Clement Stone,1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.46651142835617065,0.23525546491146088,0.1733095943927765,0.08963016420602798,0.03529337793588638,0,1,0,16
Venezuela beauty queens protest: While Venezuela beauty queens aid the opposition the president sings a song called Plastic. CNN's...,1,NEU,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.29400938749313354,0.2674131989479065,0.1803961843252182,0.16322948038578033,0.09495174884796143,0,0,0,19
RT @ProFootballHOF: Board of Trustees approves master plan to develop a “Hall of Fame Village. Details: http://t.co/umDSXYAWm6 http://t.co…,1,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.43063002824783325,0.32729941606521606,0.12487046420574188,0.10461275279521942,0.012587354518473148,2,1,1,18
